OG0002185: 2L52.1a HCON_00053970-00001
OG0004118: F01F1.9a HCON_00078110-00002
OG0004119: F01G10.1 HCON_00101300-00001
OG0004120: F01G10.10 HCON_00115950-00001
OG0004121: F01G10.6 HCON_00112920-00001
OG0004122: F01G10.7 HCON_00089450-00001
OG0004123: F01G12.2b HCON_00188320-00002
OG0004124: F01G12.5b HCON_00192250-00002
OG0004125: F01G4.2a HCON_00108480-00001
OG0004126: F01G4.3 HCON_00128750-00001
OG0004127: F01G4.5 HCON_00112170-00001
OG0004129: F02D8.2 HCON_00148950-00001
OG0004130: F02D8.3 HCON_00150180-00001
OG0004131: F02D8.4 HCON_00134920-00002
OG0004132: F02E11.1 HCON_00060120-00001
OG0004133: F02E11.7a HCON_00078050-00001
OG0004134: F02E8.2a HCON_00165620-00001
OG0004135: F02E8.3 HCON_00160840-00001
OG0004136: F02E9.1 HCON_00016900-00001
OG0004137: F02E9.10c HCON_00010680-00001
OG0004138: F02E9.2a HCON_00075810-00001
OG0004139: F02E9.4b HCON_00033540-00002
OG0004140: F02E9.5a HCON_00033550-00001
OG0004141: F02E9.7 HCON_00127290-00001
OG0004142: F02E9.9b HCON_00018710-00002
OG0004144: F07A11.3 HCON_00105320-00001
OG0004145: F07A11.4a HCON_00048420-00001
OG0004146: F07A11.5 HCON_00048410-00001
OG0004147: F07A11.6b HCON_00037940-00001
OG0004148: F07A5.1b HCON_00008750-00001
OG0004149: F07A5.4 HCON_00007700-00001
OG0004150: F07A5.5 HCON_00007690-00001
OG0004151: F07A5.7a HCON_00007680-00001
OG0004152: F07B10.1a HCON_00013950-00001
OG0004154: F07B10.5 HCON_00137830-00001
OG0004155: F07C3.1 HCON_00141900-00001
OG0004156: F07C3.2 HCON_00125240-00001
OG0004157: F07C3.4 HCON_00108690-00001
OG0004158: F07C3.7 HCON_00019060-00001
OG0004159: F07C6.1a HCON_00128610-00001
OG0004160: F07C6.4d HCON_00128600-00001
OG0004161: F07D10.1 HCON_00166280-00001
OG0004162: F07E5.5 HCON_00049720-00001
OG0004163: F07F6.1 HCON_00068680-00001
OG0004164: F07F6.4 HCON_00038770-00001
OG0004165: F07F6.5 HCON_00062830-00001
OG0004166: F07F6.6 HCON_00035350-00001
OG0004167: F07H5.2 HCON_00063805-00001
OG0004168: F07H5.7 HCON_00062380-00001
OG0004169: F07H5.8 HCON_00057050-00001
OG0004170: F08A10.1j HCON_00001005-00001
OG0004171: F08B1.1e HCON_00059920-00001
OG0004172: F08B1.2a HCON_00043720-00001
OG0004173: F08B12.1 HCON_00185090-00001
OG0004174: F08B12.2 HCON_00165140-00001
OG0004175: F08B12.3g HCON_00084890-00001
OG0004176: F08B4.1b HCON_00012130-00001
OG0004177: F08B4.2a HCON_00119280-00001
OG0004178: F08B4.5 HCON_00123110-00001
OG0004179: F08B4.6 HCON_00123120-00001
OG0004180: F08B4.7 HCON_00193340-00001
OG0004181: F08B6.1 HCON_00023820-00001
OG0004182: F08B6.2 HCON_00026020-00001
OG0004183: F08B6.3 HCON_00016970-00001
OG0004184: F08B6.4a HCON_00011460-00001
OG0004185: F08C6.1a HCON_00171790-00002
OG0004186: F08C6.2a HCON_00014630-00001
OG0004187: F08C6.3 HCON_00127110-00001
OG0004188: F08C6.6 HCON_00069885-00001
OG0004189: F08C6.7 HCON_00158470-00001
OG0004190: F08D12.1 HCON_00059680-00001
OG0004191: F08D12.12 HCON_00059700-00001
OG0004192: F08F1.6 HCON_00168345-00001
OG0004193: F08F1.7 HCON_00165490-00001
OG0004194: F08F3.1 HCON_00134590-00001
OG0004195: F08F3.10 HCON_00160120-00001
OG0004196: F08F3.2a HCON_00145770-00001
OG0004197: F08F3.3 HCON_00160020-00002
OG0004198: F08F3.4 HCON_00135710-00001
OG0004201: F08F8.2 HCON_00056280-00001
OG0004202: F08F8.3a HCON_00079210-00001
OG0004203: F08F8.4 HCON_00067610-00001
OG0004204: F08F8.6 HCON_00145910-00001
OG0004205: F08F8.7 HCON_00077770-00001
OG0004206: F08F8.8 HCON_00077780-00001
OG0004207: F08G5.3b HCON_00161620-00002
OG0004208: F08G5.5a HCON_00161690-00001
OG0004209: F09A5.4c HCON_00188670-00001
OG0004210: F09B12.1a HCON_00188980-00001
OG0004211: F09B12.2 HCON_00167445-00001
OG0004212: F09B12.3 HCON_00186240-00001
OG0004213: F09B12.5 HCON_00159850-00001
OG0004214: F09B12.6 HCON_00186250-00001
OG0004215: F09B9.2b HCON_00185030-00001
OG0004216: F09B9.3 HCON_00185060-00001
OG0004217: F09B9.5 HCON_00185020-00001
OG0004218: F09C12.6 HCON_00047390-00001
OG0004220: F09C8.2 HCON_00187530-00001
OG0004221: F09D1.1 HCON_00163200-00001
OG0004222: F09E10.7c HCON_00175270-00002
OG0004223: F09E10.8 HCON_00173230-00001
OG0004224: F09E5.1 HCON_00062930-00001
OG0004226: F09E5.11 HCON_00047500-00001
OG0004227: F09E5.15c HCON_00048680-00001
OG0004228: F09E5.17 HCON_00041290-00001
OG0004229: F09E5.2 HCON_00048660-00001
OG0004230: F09E5.3 HCON_00048655-00001
OG0004231: F09E5.4 HCON_00047515-00001
OG0004232: F09E5.5 HCON_00041300-00001
OG0004233: F09E5.7 HCON_00118480-00001
OG0004234: F09E5.8 HCON_00096000-00001
OG0004235: F09E8.2a HCON_00117970-00001
OG0004236: F09E8.3a HCON_00063860-00001
OG0004237: F09E8.6 HCON_00093300-00001
OG0004238: F09F7.1 HCON_00067410-00001
OG0004239: F09F7.2a HCON_00091450-00001
OG0004240: F09F7.3 HCON_00091440-00001
OG0004241: F09F7.4a HCON_00087680-00001
OG0004242: F09F7.7a HCON_00084130-00001
OG0004243: F09F9.1 HCON_00166710-00001
OG0004244: F09F9.2 HCON_00115440-00001
OG0004245: F09F9.4 HCON_00072790-00001
OG0004246: F09F9.5 HCON_00094860-00001
OG0004247: F09G2.1a HCON_00143540-00001
OG0004248: F09G2.2 HCON_00146550-00001
OG0004249: F09G2.4 HCON_00001045-00001
OG0004250: F09G2.5 HCON_00145000-00001
OG0004251: F09G2.9 HCON_00038580-00001
OG0004252: F09G8.10a HCON_00074250-00001
OG0004253: F09G8.2 HCON_00007310-00001
OG0004254: F09G8.3 HCON_00086520-00001
OG0004255: F09G8.5 HCON_00094380-00001
OG0004256: F10B5.1 HCON_00026960-00001
OG0004257: F10B5.2 HCON_00059310-00001
OG0004258: F10B5.3 HCON_00059305-00001
OG0004259: F10B5.4 HCON_00059300-00001
OG0004260: F10B5.5 HCON_00059330-00001
OG0004261: F10B5.6 HCON_00146940-00001
OG0004262: F10B5.8 HCON_00104615-00001
OG0004263: F10B5.9 HCON_00059290-00001
OG0004264: F10C1.2b HCON_00059550-00001
OG0004265: F10C1.5 HCON_00059560-00001
OG0004267: F10C2.2 HCON_00156180-00001
OG0004268: F10C2.4 HCON_00163620-00001
OG0004269: F10C2.5 HCON_00163590-00001
OG0004270: F10C2.6 HCON_00163460-00001
OG0004271: F10C5.1 HCON_00090100-00001
OG0004272: F10C5.2 HCON_00092750-00001
OG0004275: F10D11.6a HCON_00015505-00001
OG0004276: F10D7.1 HCON_00191170-00001
OG0004277: F10D7.2 HCON_00059590-00001
OG0004278: F10D7.3 HCON_00108090-00001
OG0004279: F10E7.10 HCON_00038420-00001
OG0004280: F10E7.4 HCON_00053180-00001
OG0004281: F10E7.5 HCON_00073490-00001
OG0004282: F10E7.6 HCON_00122730-00001
OG0004283: F10E7.7 HCON_00039040-00001
OG0004284: F10E7.8b HCON_00042330-00001
OG0004285: F10E7.9 HCON_00039030-00001
OG0004286: F10E9.10 HCON_00036365-00001
OG0004287: F10E9.11 HCON_00083230-00001
OG0004289: F10E9.4 HCON_00066990-00001
OG0004290: F10E9.5 HCON_00066995-00001
OG0004291: F10E9.6c HCON_00087400-00001
OG0004292: F10E9.8 HCON_00083220-00001
OG0004293: F10F2.1 HCON_00069610-00001
OG0004294: F10F2.2 HCON_00091890-00001
OG0004295: F10F2.3 HCON_00069670-00001
OG0004296: F10F2.4 HCON_00091895-00001
OG0004297: F10F2.9 HCON_00086010-00001
OG0004299: F10G7.1 HCON_00060930-00001
OG0004300: F10G7.10a HCON_00053760-00001
OG0004301: F10G7.11 HCON_00053740-00001
OG0004302: F10G7.2 HCON_00060940-00001
OG0004303: F10G7.5b HCON_00059780-00001
OG0004304: F10G7.8 HCON_00034430-00001
OG0004305: F10G8.3 HCON_00024050-00001
OG0004307: F10G8.5 HCON_00024040-00001
OG0004308: F10G8.6 HCON_00024080-00001
OG0004309: F10G8.7 HCON_00024030-00001
OG0004310: F10G8.8b HCON_00029220-00001
OG0004311: F10G8.9b HCON_00024090-00001
OG0004312: F11A1.3a HCON_00164850-00002
OG0004313: F11A10.1a HCON_00124270-00001
OG0004314: F11A10.2 HCON_00124275-00001
OG0004315: F11A10.4b HCON_00125860-00001
OG0004316: F11A10.5 HCON_00125870-00001
OG0004317: F11A10.6a HCON_00131135-00001
OG0004318: F11A10.7 HCON_00124280-00001
OG0004319: F11A10.8 HCON_00131120-00001
OG0004320: F11A3.2a HCON_00144750-00001
OG0004322: F11A6.1a HCON_00032280-00001
OG0004323: F11C1.1 HCON_00023360-00001
OG0004324: F11C1.3 HCON_00109020-00001
OG0004325: F11C1.5a HCON_00186310-00001
OG0004326: F11C3.2 HCON_00032090-00001
OG0004327: F11C7.1 HCON_00164940-00001
OG0004328: F11C7.4 HCON_00165540-00001
OG0004329: F11D5.1a HCON_00187800-00001
OG0004330: F11D5.3a HCON_00109060-00001
OG0004331: F11E6.1d HCON_00119050-00001
OG0004333: F11E6.5 HCON_00100400-00001
OG0004334: F11F1.6 HCON_00162935-00001
OG0004335: F11F1.7 HCON_00089670-00001
OG0004336: F11G11.12 HCON_00050535-00001
OG0004338: F11G11.5 HCON_00060780-00001
OG0004339: F11G11.7 HCON_00060790-00001
OG0004340: F11H8.1 HCON_00070460-00001
OG0004341: F11H8.2b HCON_00095210-00001
OG0004342: F11H8.4b HCON_00070930-00001
OG0004343: F12A10.5 HCON_00037730-00001
OG0004345: F12B6.3a HCON_00030310-00001
OG0004346: F12D9.1 HCON_00171320-00001
OG0004347: F12F3.1c HCON_00131990-00001
OG0004348: F12F6.1 HCON_00102460-00001
OG0004349: F12F6.3a HCON_00050730-00001
OG0004350: F12F6.5a HCON_00060350-00001
OG0004351: F12F6.6 HCON_00111020-00001
OG0004352: F12F6.7 HCON_00111010-00001
OG0004353: F13A7.7 HCON_00193980-00002
OG0004354: F13B10.1f HCON_00091400-00002
OG0004355: F13B10.2a HCON_00091550-00001
OG0004356: F13B12.1 HCON_00131030-00001
OG0004357: F13B12.2 HCON_00122450-00001
OG0004358: F13B12.5 HCON_00111780-00001
OG0004359: F13B12.6 HCON_00096630-00001
OG0004360: F13B9.8 HCON_00166580-00001
OG0004361: F13C5.1 HCON_00189460-00001
OG0004362: F13C5.3a HCON_00189470-00001
OG0004363: F13C5.5 HCON_00189450-00001
OG0004364: F13C5.6b HCON_00189440-00001
OG0004365: F13D11.1 HCON_00167500-00002
OG0004366: F13D11.2a HCON_00167530-00001
OG0004367: F13D11.4 HCON_00065790-00001
OG0004368: F13D12.10a HCON_00165380-00002
OG0004369: F13D12.2b HCON_00035130-00001
OG0004370: F13D12.4a HCON_00057830-00001
OG0004371: F13D12.6 HCON_00053550-00001
OG0004372: F13D12.7a HCON_00037200-00001
OG0004373: F13D12.9 HCON_00037970-00001
OG0004374: F13E6.1 HCON_00097670-00001
OG0004375: F13E6.2 HCON_00172500-00001
OG0004376: F13E6.4 HCON_00165400-00001
OG0004377: F13E6.5 HCON_00158890-00001
OG0004378: F13E6.6 HCON_00184930-00001
OG0004379: F13E9.1 HCON_00100150-00001
OG0004380: F13E9.11a HCON_00100160-00001
OG0004381: F13E9.13 HCON_00168350-00001
OG0004383: F13E9.5 HCON_00143325-00001
OG0004384: F13G11.1b HCON_00127230-00001
OG0004387: F13G3.1 HCON_00017210-00001
OG0004388: F13G3.10a HCON_00007300-00001
OG0004389: F13G3.11 HCON_00032140-00001
OG0004390: F13G3.4 HCON_00004320-00001
OG0004391: F13G3.5a HCON_00004330-00001
OG0004392: F13G3.6 HCON_00004340-00001
OG0004393: F13G3.7a HCON_00032150-00001
OG0004394: F13G3.8 HCON_00007325-00001
OG0004395: F13H10.1 HCON_00111350-00001
OG0004396: F13H10.2a HCON_00114770-00001
OG0004397: F13H10.3b HCON_00114780-00001
OG0004398: F13H10.4a HCON_00114790-00001
OG0004399: F13H10.5 HCON_00115220-00001
OG0004400: F13H10.8a HCON_00107790-00001
OG0004401: F13H10.9 HCON_00115200-00001
OG0004402: F13H6.1b HCON_00150110-00001
OG0004404: F13H8.10a HCON_00058000-00001
OG0004405: F13H8.11 HCON_00062460-00001
OG0004406: F13H8.1b HCON_00051600-00001
OG0004407: F13H8.2 HCON_00057990-00001
OG0004408: F13H8.4 HCON_00062030-00001
OG0004409: F13H8.5b HCON_00062020-00001
OG0004410: F13H8.7 HCON_00035520-00001
OG0004411: F13H8.9 HCON_00058010-00001
OG0004412: F14B4.1 HCON_00013670-00001
OG0004413: F14B4.2a HCON_00013140-00001
OG0004414: F14B4.3 HCON_00013150-00001
OG0004416: F14B6.2 HCON_00027360-00001
OG0004417: F14D12.1b HCON_00185640-00001
OG0004418: F14D12.2 HCON_00037600-00001
OG0004419: F14D12.5 HCON_00165240-00001
OG0004420: F14E5.1 HCON_00053494-00001
OG0004421: F14E5.2a HCON_00057480-00001
OG0004423: F14F11.1h HCON_00057290-00002
OG0004424: F14F11.2 HCON_00041080-00001
OG0004425: F14F3.1a HCON_00188990-00001
OG0004426: F14F3.2 HCON_00190590-00001
OG0004427: F14F3.3 HCON_00009160-00001
OG0004428: F14F4.1 HCON_00164890-00001
OG0004429: F14F4.3 HCON_00164880-00001
OG0004430: F14F7.4 HCON_00053750-00001
OG0004432: F14F9.5 HCON_00151190-00001
OG0004433: F14H12.1 HCON_00051040-00001
OG0004434: F14H12.3 HCON_00007950-00001
OG0004436: F14H8.6b HCON_00049910-00001
OG0004437: F15A2.6a HCON_00174090-00001
OG0004438: F15A4.11 HCON_00040770-00001
OG0004439: F15A4.12 HCON_00040775-00001
OG0004441: F15A8.6b HCON_00164410-00001
OG0004442: F15B10.1a HCON_00130270-00001
OG0004443: F15B10.2a HCON_00130260-00001
OG0004445: F15B9.10a HCON_00143350-00001
OG0004446: F15B9.4 HCON_00163080-00002
OG0004447: F15B9.5a HCON_00122880-00001
OG0004448: F15B9.7a HCON_00122890-00001
OG0004449: F15B9.8 HCON_00157700-00001
OG0004450: F15C11.1 HCON_00021560-00001
OG0004451: F15C11.2a HCON_00021550-00001
OG0004452: F15D3.1a HCON_00027240-00001
OG0004453: F15D3.6 HCON_00009040-00001
OG0004454: F15D3.7 HCON_00009060-00001
OG0004455: F15D4.1 HCON_00053170-00001
OG0004456: F15D4.2 HCON_00035490-00002
OG0004457: F15D4.3 HCON_00044000-00001
OG0004458: F15E6.2a HCON_00130250-00001
OG0004461: F15G9.4b HCON_00170810-00001
OG0004462: F15G9.5 HCON_00170705-00001
OG0004463: F15H10.4 HCON_00026630-00001
OG0004464: F16A11.1a HCON_00012690-00001
OG0004465: F16A11.2a HCON_00012695-00003
OG0004466: F16A11.3d HCON_00023410-00002
OG0004467: F16B3.1b HCON_00156750-00001
OG0004468: F16B3.3b HCON_00156740-00001
OG0004469: F16C3.1 HCON_00013980-00001
OG0004470: F16C3.2 HCON_00031710-00001
OG0004471: F16C3.3 HCON_00031720-00001
OG0004472: F16D3.1 HCON_00115890-00001
OG0004473: F16D3.4 HCON_00015500-00001
OG0004474: F16D3.7 HCON_00005750-00001
OG0004475: F16H11.1 HCON_00190350-00001
OG0004476: F16H11.4 HCON_00190330-00001
OG0004477: F16H11.5 HCON_00190340-00001
OG0004478: F16H9.1b HCON_00182230-00001
OG0004479: F17A9.2 HCON_00131930-00001
OG0004480: F17C11.10 HCON_00147430-00001
OG0004481: F17C11.12a HCON_00131500-00002
OG0004482: F17C11.17 HCON_00141690-00001
OG0004483: F17C11.2 HCON_00141640-00001
OG0004484: F17C11.4b HCON_00153950-00001
OG0004485: F17C11.7a HCON_00082410-00001
OG0004486: F17C11.8 HCON_00085980-00001
OG0004487: F17C11.9a HCON_00147420-00001
OG0004488: F17C8.1 HCON_00068400-00001
OG0004489: F17C8.3 HCON_00095830-00001
OG0004490: F17C8.4 HCON_00095270-00001
OG0004491: F17C8.9 HCON_00093400-00001
OG0004492: F17E5.1a HCON_00178370-00001
OG0004494: F17H10.1 HCON_00187810-00001
OG0004495: F18A1.2d HCON_00047050-00001
OG0004496: F18A1.6b HCON_00036490-00001
OG0004497: F18A1.7 HCON_00149570-00001
OG0004498: F18A11.2 HCON_00039670-00001
OG0004499: F18A11.3 HCON_00039660-00001
OG0004500: F18A11.5a HCON_00055480-00001
OG0004501: F18A12.8a HCON_00055070-00001
OG0004502: F18C12.1 HCON_00009080-00001
OG0004503: F18C12.2a HCON_00002230-00001
OG0004504: F18C12.3 HCON_00011000-00001
OG0004505: F18C5.10 HCON_00046590-00001
OG0004506: F18C5.2 HCON_00091030-00001
OG0004507: F18C5.3 HCON_00054180-00001
OG0004508: F18C5.5 HCON_00035670-00001
OG0004509: F18C5.9 HCON_00039340-00001
OG0004511: F18E2.1a HCON_00194260-00001
OG0004512: F18E2.2 HCON_00150870-00001
OG0004513: F18E2.3 HCON_00081200-00001
OG0004514: F18E2.5b HCON_00138710-00001
OG0004515: F18E9.3 HCON_00168370-00001
OG0004516: F18F11.1 HCON_00124160-00001
OG0004517: F18F11.3d HCON_00108520-00001
OG0004518: F18F11.5 HCON_00125460-00001
OG0004519: F18G5.2a HCON_00164260-00001
OG0004520: F18G5.3 HCON_00164270-00001
OG0004521: F18G5.4 HCON_00041490-00001
OG0004522: F18H3.1 HCON_00057590-00001
OG0004523: F18H3.5 HCON_00032880-00001
OG0004524: F19B6.1d HCON_00104740-00001
OG0004525: F19B6.2a HCON_00104750-00001
OG0004527: F19C6.1 HCON_00173380-00001
OG0004529: F19C7.1 HCON_00116040-00001
OG0004531: F19C7.8e HCON_00123100-00001
OG0004532: F19F10.12 HCON_00148260-00001
OG0004533: F19F10.9 HCON_00148430-00001
OG0004534: F19H6.1 HCON_00111300-00001
OG0004535: F19H8.1a HCON_00057430-00001
OG0004536: F19H8.2 HCON_00057420-00001
OG0004537: F19H8.3 HCON_00057432-00001
OG0004538: F20A1.2 HCON_00163170-00001
OG0004539: F20A1.7b HCON_00146660-00002
OG0004540: F20B10.1 HCON_00106570-00001
OG0004541: F20B6.4 HCON_00166840-00001
OG0004542: F20B6.8b HCON_00178740-00001
OG0004543: F20C5.2a HCON_00128140-00001
OG0004544: F20C5.4 HCON_00128170-00001
OG0004545: F20D1.1 HCON_00188860-00001
OG0004546: F20D1.10 HCON_00189090-00001
OG0004547: F20D1.2 HCON_00185800-00001
OG0004548: F20D1.3 HCON_00185790-00001
OG0004549: F20D1.6 HCON_00158360-00001
OG0004550: F20D1.7 HCON_00189040-00001
OG0004551: F20D1.8 HCON_00190640-00001
OG0004552: F20D1.9 HCON_00190520-00001
OG0004553: F20D12.2 HCON_00104530-00001
OG0004554: F20D12.3 HCON_00124450-00001
OG0004555: F20D12.4 HCON_00004440-00001
OG0004556: F20D12.6b HCON_00122850-00001
OG0004557: F20D12.7 HCON_00110420-00001
OG0004558: F20D6.10 HCON_00143710-00001
OG0004559: F20D6.8 HCON_00064300-00001
OG0004561: F20G2.3a HCON_00162250-00001
OG0004562: F20G2.6b HCON_00153350-00001
OG0004563: F20G4.1 HCON_00022750-00001
OG0004564: F20H11.1 HCON_00089010-00001
OG0004565: F20H11.2 HCON_00083320-00001
OG0004566: F20H11.3 HCON_00092190-00001
OG0004568: F20H11.5 HCON_00003650-00001
OG0004569: F21A10.1a HCON_00045020-00001
OG0004570: F21A10.4 HCON_00101660-00001
OG0004571: F21A3.11 HCON_00136570-00001
OG0004572: F21A3.3 HCON_00138210-00001
OG0004573: F21A3.4 HCON_00133860-00001
OG0004574: F21A3.7a HCON_00138200-00001
OG0004575: F21A9.2 HCON_00009940-00002
OG0004576: F21C10.7 HCON_00149810-00001
OG0004577: F21C10.8a HCON_00149885-00001
OG0004578: F21C3.1b HCON_00030480-00001
OG0004579: F21C3.2 HCON_00030460-00001
OG0004580: F21C3.3 HCON_00027090-00001
OG0004581: F21C3.5 HCON_00058810-00001
OG0004582: F21D12.3 HCON_00064700-00001
OG0004583: F21D12.5 HCON_00064745-00001
OG0004584: F21D5.1 HCON_00115990-00001
OG0004585: F21D5.2b HCON_00059925-00001
OG0004586: F21D5.3a HCON_00129250-00001
OG0004588: F21D5.5 HCON_00108950-00001
OG0004589: F21D5.6 HCON_00108930-00001
OG0004590: F21D5.7 HCON_00108920-00001
OG0004591: F21D5.8 HCON_00108940-00001
OG0004592: F21E9.2 HCON_00186690-00001
OG0004593: F21E9.3 HCON_00186430-00001
OG0004594: F21F3.1 HCON_00010630-00001
OG0004595: F21F3.4 HCON_00022300-00001
OG0004596: F21F3.5 HCON_00017680-00001
OG0004597: F21F3.6 HCON_00023550-00001
OG0004598: F21F3.7 HCON_00021900-00001
OG0004599: F21F8.11 HCON_00137064-00001
OG0004600: F21G4.2 HCON_00175410-00001
OG0004601: F21G4.6 HCON_00190280-00001
OG0004602: F21H11.2a HCON_00081140-00001
OG0004603: F21H11.3 HCON_00081130-00001
OG0004604: F21H12.1 HCON_00047890-00001
OG0004605: F21H12.6 HCON_00172010-00001
OG0004607: F22A3.1b HCON_00089990-00001
OG0004608: F22A3.2 HCON_00089970-00001
OG0004609: F22A3.7 HCON_00089980-00001
OG0004610: F22B5.1 HCON_00061700-00001
OG0004611: F22B5.10 HCON_00059410-00001
OG0004612: F22B5.2a HCON_00061690-00001
OG0004613: F22B5.7 HCON_00052535-00001
OG0004614: F22B5.9 HCON_00059400-00001
OG0004615: F22B7.1 HCON_00085110-00001
OG0004616: F22B7.10 HCON_00085120-00001
OG0004617: F22B7.5a HCON_00066840-00002
OG0004618: F22B7.6a HCON_00066860-00001
OG0004619: F22B7.7 HCON_00066820-00001
OG0004620: F22B7.9 HCON_00070370-00001
OG0004622: F22D3.2a HCON_00064160-00001
OG0004623: F22D3.6 HCON_00057860-00001
OG0004624: F22D6.2 HCON_00025240-00001
OG0004625: F22D6.3a HCON_00000190-00001
OG0004626: F22D6.4 HCON_00001330-00001
OG0004627: F22D6.5a HCON_00001320-00001
OG0004628: F22E10.5 HCON_00191180-00001
OG0004629: F22E12.1 HCON_00133150-00001
OG0004630: F22E12.2 HCON_00136325-00001
OG0004631: F22E12.3 HCON_00136327-00001
OG0004632: F22E12.4a HCON_00136300-00001
OG0004634: F22F4.1 HCON_00164650-00001
OG0004635: F22F4.2 HCON_00164660-00001
OG0004636: F22F4.3 HCON_00164690-00001
OG0004637: F22F7.7a HCON_00137950-00001
OG0004638: F22G12.4a HCON_00022630-00001
OG0004639: F22G12.5c HCON_00166620-00001
OG0004642: F23B12.4a HCON_00142850-00001
OG0004643: F23B12.5 HCON_00146110-00001
OG0004644: F23B12.6 HCON_00154510-00001
OG0004645: F23B12.7 HCON_00154520-00001
OG0004646: F23B2.4 HCON_00103490-00002
OG0004647: F23B2.5a HCON_00103480-00001
OG0004648: F23C8.13a HCON_00022155-00001
OG0004649: F23C8.4 HCON_00028830-00001
OG0004650: F23C8.5a HCON_00029960-00001
OG0004651: F23C8.6 HCON_00029970-00001
OG0004652: F23C8.8 HCON_00020970-00001
OG0004653: F23C8.9 HCON_00020980-00001
OG0004654: F23D12.1 HCON_00186720-00001
OG0004655: F23F1.2 HCON_00061190-00001
OG0004656: F23F1.4 HCON_00042530-00001
OG0004657: F23F1.5 HCON_00042510-00001
OG0004658: F23F1.7 HCON_00062310-00001
OG0004659: F23F1.8a HCON_00062350-00001
OG0004660: F23F1.9 HCON_00005035-00001
OG0004661: F23F12.6 HCON_00129050-00001
OG0004662: F23F12.8 HCON_00094710-00001
OG0004663: F23F12.9a HCON_00094700-00001
OG0004664: F23H11.2 HCON_00022700-00001
OG0004665: F23H11.3 HCON_00086980-00001
OG0004666: F23H11.4a HCON_00086500-00001
OG0004667: F23H11.5 HCON_00065250-00001
OG0004668: F23H11.7 HCON_00025315-00001
OG0004669: F23H11.8a HCON_00080670-00001
OG0004670: F23H11.9a HCON_00146770-00001
OG0004671: F23H12.2 HCON_00142430-00001
OG0004672: F23H12.3a HCON_00142420-00001
OG0004673: F23H12.5 HCON_00149210-00001
OG0004674: F23H12.7a HCON_00156720-00001
OG0004675: F23H12.8 HCON_00160425-00001
OG0004676: F25B3.1 HCON_00135640-00001
OG0004677: F25B3.2 HCON_00144730-00001
OG0004679: F25B3.6 HCON_00144740-00001
OG0004680: F25B4.1 HCON_00138170-00001
OG0004681: F25B4.2 HCON_00144130-00001
OG0004682: F25B4.4 HCON_00022524-00001
OG0004683: F25B4.5 HCON_00145660-00001
OG0004684: F25B4.6 HCON_00145670-00001
OG0004685: F25B4.8a HCON_00142020-00001
OG0004686: F25B4.9 HCON_00162030-00001
OG0004687: F25B5.1b HCON_00073720-00001
OG0004688: F25B5.2b HCON_00073540-00001
OG0004689: F25B5.3b HCON_00016740-00002
OG0004690: F25B5.4a HCON_00071200-00001
OG0004691: F25B5.5 HCON_00075320-00001
OG0004692: F25B5.6b HCON_00025870-00001
OG0004693: F25B5.7a HCON_00075310-00001
OG0004694: F25C8.2a HCON_00133980-00001
OG0004695: F25C8.3d HCON_00143610-00001
OG0004696: F25C8.4 HCON_00133970-00001
OG0004697: F25D1.1a HCON_00154730-00001
OG0004698: F25D1.2 HCON_00150440-00001
OG0004699: F25D1.4 HCON_00142920-00001
OG0004700: F25D7.1 HCON_00020260-00001
OG0004701: F25D7.2 HCON_00020250-00001
OG0004702: F25D7.3a HCON_00019310-00001
OG0004704: F25E2.5d HCON_00186420-00001
OG0004705: F25F2.2 HCON_00079660-00001
OG0004706: F25F6.1 HCON_00167440-00001
OG0004707: F25F8.1 HCON_00001040-00001
OG0004708: F25F8.2 HCON_00001030-00001
OG0004709: F25G6.2 HCON_00152365-00001
OG0004710: F25G6.3 HCON_00147330-00001
OG0004711: F25G6.4 HCON_00147310-00001
OG0004712: F25G6.6 HCON_00143320-00001
OG0004713: F25G6.7a HCON_00143310-00001
OG0004714: F25G6.8 HCON_00122520-00001
OG0004715: F25G6.9 HCON_00147340-00001
OG0004716: F25H2.1 HCON_00001450-00001
OG0004717: F25H2.10 HCON_00012330-00001
OG0004718: F25H2.12a HCON_00165740-00001
OG0004719: F25H2.13 HCON_00165770-00001
OG0004720: F25H2.4 HCON_00001420-00001
OG0004721: F25H2.5 HCON_00001410-00001
OG0004722: F25H2.6 HCON_00001405-00001
OG0004723: F25H2.7 HCON_00001400-00001
OG0004724: F25H2.8 HCON_00001460-00001
OG0004725: F25H2.9 HCON_00121800-00001
OG0004726: F25H5.1i HCON_00000980-00003
OG0004727: F25H5.4a HCON_00010560-00001
OG0004728: F25H5.5a HCON_00010550-00001
OG0004729: F25H5.6 HCON_00010540-00001
OG0004730: F25H8.1a HCON_00107960-00001
OG0004731: F25H8.2 HCON_00127940-00001
OG0004732: F25H8.3b HCON_00122800-00001
OG0004733: F25H8.5k HCON_00107930-00001
OG0004734: F25H8.6 HCON_00103410-00001
OG0004735: F25H9.5a HCON_00154760-00001
OG0004736: F25H9.6 HCON_00154740-00001
OG0004737: F25H9.7a HCON_00155770-00001
OG0004738: F26A1.13 HCON_00077480-00001
OG0004739: F26A1.15 HCON_00055800-00001
OG0004740: F26A1.9 HCON_00072350-00001
OG0004741: F26A10.2 HCON_00181230-00001
OG0004742: F26A3.1 HCON_00166400-00001
OG0004743: F26A3.4 HCON_00025120-00001
